kernel,H,W,K,TH,TW,width,unroll,reps,ms,gflops,instructions,l1_loads,l1_misses,mpki
combo,512,512,5,512,512,128,1,20,1.8473,7.095,357419653,75096504,3646230,10.2015
combo,512,512,5,0,0,128,1,20,1.8501,7.085,357393029,75090000,3494555,9.7779
combo,512,512,5,16,16,128,2,20,2.7628,4.744,678778409,116294047,665306,0.9802
combo,512,512,5,32,32,128,2,20,1.6591,7.900,462126661,93616648,10088661,21.8309
combo,512,512,5,64,64,128,2,20,1.3681,9.581,357371019,83429909,10582556,29.6122
combo,512,512,5,128,128,128,2,20,1.4713,8.908,305722433,78568188,16297223,53.3073
combo,512,512,5,256,256,128,2,20,1.4401,9.102,280186658,76228756,17214492,61.4394
combo,512,512,5,512,512,128,2,20,1.8749,6.991,267594728,75111056,4156326,15.5322
combo,512,512,5,0,0,128,2,20,1.8517,7.078,267554863,75096504,4079457,15.2472
combo,512,512,5,16,16,256,1,20,2.5508,5.138,543958932,80966705,592480,1.0892
combo,512,512,5,32,32,256,1,20,1.5996,8.194,368012422,58282791,9212228,25.0324
combo,512,512,5,64,64,256,1,20,1.1216,11.686,283495943,48055070,10697380,37.7338
combo,512,512,5,128,128,256,1,20,1.1616,11.284,242158307,43235144,15767746,65.1134
combo,512,512,5,256,256,256,1,20,1.1121,11.785,221645805,40878893,14987423,67.6188
combo,512,512,5,512,512,256,1,20,1.7831,7.351,211633287,39765106,6933413,32.7614
combo,512,512,5,0,0,256,1,20,1.7886,7.328,211656966,39772526,6989030,33.0206
combo,512,512,5,16,16,256,2,20,2.3506,5.576,543872536,80945748,619478,1.1390
combo,512,512,5,32,32,256,2,20,1.8634,7.034,336558978,58304907,6267624,18.6227
combo,512,512,5,64,64,256,2,20,1.0228,12.815,236175653,48054348,9751295,41.2883
combo,512,512,5,128,128,256,2,20,1.0607,12.357,186927417,43225628,14657586,78.4132
combo,512,512,5,256,256,256,2,20,1.0481,12.506,162607792,40902450,14230072,87.5116
combo,512,512,5,512,512,256,2,20,1.7434,7.518,150607272,39785602,7438745,49.3917
combo,512,512,5,0,0,256,2,20,1.7798,7.365,150549605,39771569,7343726,48.7794
combo,1024,1024,5,16,16,0,1,20,24.1948,2.167,5574425226,1311188163,37869890,6.7935
combo,1024,1024,5,32,32,0,1,20,21.4725,2.442,4888433138,1220569965,40934354,8.3737
combo,1024,1024,5,64,64,0,1,20,25.3736,2.066,4560481850,1180032009,78274513,17.1636
combo,1024,1024,5,128,128,0,1,20,22.2665,2.355,4398759578,1160576208,73893783,16.7988
combo,1024,1024,5,256,256,0,1,20,22.0307,2.380,4318664703,1151098946,67332702,15.5911
combo,1024,1024,5,512,512,0,1,20,21.3621,2.454,4279003170,1146465621,64286029,15.0236
combo,1024,1024,5,0,0,0,1,20,22.1698,2.365,4259333960,1144196015,61223361,14.3739
combo,1024,1024,5,16,16,0,2,20,24.3453,2.154,5214289323,1311275617,37853305,7.2595
combo,1024,1024,5,32,32,0,2,20,20.7881,2.522,4527809464,1220525662,40962098,9.0468
combo,1024,1024,5,64,64,0,2,20,22.1834,2.363,4199103105,1179798332,71374761,16.9976
combo,1024,1024,5,128,128,0,2,20,22.0462,2.378,4038001404,1160500208,72908576,18.0556
combo,1024,1024,5,256,256,0,2,20,21.6310,2.424,3958519494,1151173331,67838897,17.1374
combo,1024,1024,5,512,512,0,2,20,21.1953,2.474,3918476080,1146445883,64789877,16.5345
combo,1024,1024,5,0,0,0,2,20,22.2314,2.358,3899045360,1144238279,59908142,15.3648
combo,1024,1024,5,16,16,128,1,20,12.0617,4.347,2856069157,462914278,35400200,12.3947
combo,1024,1024,5,32,32,128,1,20,9.5018,5.518,2097474639,372170242,40977801,19.5367
combo,1024,1024,5,64,64,128,1,20,7.5542,6.940,1731847474,331217360,70702980,40.8252
combo,1024,1024,5,128,128,128,1,20,6.9430,7.551,1552575758,311876020,66259194,42.6769
combo,1024,1024,5,256,256,128,1,20,6.8675,7.634,1464230689,302597852,58542693,39.9819
combo,1024,1024,5,512,512,128,1,20,8.6032,6.094,1420129745,297981478,26402521,18.5916
combo,1024,1024,5,0,0,128,1,20,10.8416,4.836,1398493522,295784457,19365678,13.8475
combo,1024,1024,5,16,16,128,2,20,11.8271,4.433,2705265436,462697025,30947654,11.4398
combo,1024,1024,5,32,32,128,2,20,10.6537,4.921,1839570590,372222761,40664715,22.1055
combo,1024,1024,5,64,64,128,2,20,6.6156,7.925,1419499132,331167918,62038512,43.7045
combo,1024,1024,5,128,128,128,2,20,6.2689,8.363,1213333418,311860634,57262741,47.1946
combo,1024,1024,5,256,256,128,2,20,6.2732,8.358,1111018432,302462619,60621851,54.5642
combo,1024,1024,5,512,512,128,2,20,8.3911,6.248,1060861081,298028718,26530300,25.0083
combo,1024,1024,5,0,0,128,2,20,10.6624,4.917,1035698908,295794588,15952786,15.4029
combo,1024,1024,5,16,16,256,1,20,11.7169,4.475,2166428983,321497997,26398686,12.1853
combo,1024,1024,5,32,32,256,1,20,11.0606,4.740,1463584038,230998207,40466190,27.6487
combo,1024,1024,5,64,64,256,1,20,6.6186,7.921,1124700991,189884154,69678431,61.9528
combo,1024,1024,5,128,128,256,1,20,4.8951,10.710,958808828,170464223,57404469,59.8706
